Store_ID,Close_date,SALES,Pop_45to50,Hisp_pop,Cauc_pop,Af_Am_pop,Asian_pop,Single_pop,Married_pop,Inc_40Kto100K,Inc_GT_100K,per_cap_inc,avg_inc,Educ_Bachelors,Educ_GE_Master,Occ_business,Occ_financial,Occ_computer,Occ_engineer,Occ_social_science,Occ_repair,played_baseball,played_basketball,played_bowling,played_football,played_hockey,played_volleyball,played_yoga,exercise_regularly,restaurant_score,night_life_score,music,football,baseball,basketball,soccer,university,CC,DT,BT,champ,stand_alone,strip_mall,life_style,pop_growth,region,Hooters,TP,BWW,Metrics
59,,2712978.14,136,466,8890,1254,296,2541,4255,507,39673,33733,80469.76,1817,898,133,195,166,165,41,17,90.8247,93.7499,100.4054,90.8292,91.1533,95.5215,119.7848,104.8798,103.3307,119.6918,0,1,1,1,0,1,2,no,low,N,1,0,0,2,SWest,0,0,0,2
60,,2770652.84,240,5226,13867,228,330,5315,5958,611,18690,21630,54244.15,1943,849,96,108,194,131,26,83,106.1405,98.4148,90.2372,100.7022,99.0883,104.5609,102.3575,95.9228,97.3559,116.4845,0,1,1,0,0,1,2,no,low,Y,1,0,0,2,SWest,0,0,0,2
61,,2802371.31,28,507,4346,194,160,1031,2293,64,45929,40941,94454.11,1186,493,61,75,175,113,44,1,90.2003,91.4168,97.344,87.5823,88.8283,93.3932,140.805,115.5527,96.4615,125.9924,0,1,1,0,1,1,2,no,low,N,1,0,0,2,SWest,0,0,0,2
62,,2810673.02,184,1515,9496,150,119,3622,3094,481,24484,23888,55743.94,1536,352,61,70,63,86,80,50,105.553,96.3188,96.9303,102.7038,110.7837,103.2921,97.5987,94.7135,110.1877,104.9395,0,1,0,1,0,1,2,yes,low,N,1,0,0,2,SWest,0,0,0,2
63,,2869664.17,257,2409,16419,242,1248,3855,8653,660,34351,33824,93653.59,3337,1133,207,267,566,569,185,39,113.7124,123.1109,135.8585,109.9467,131.8965,113.5007,129.7029,112.5274,114.695,123.5634,0,0,0,1,0,1,2,no,low,N,1,0,0,2,SWest,0,0,0,1
64,,2886929.48,225,2302,14079,505,3377,5835,6984,697,29179,32075,79342.79,3760,1882,315,242,929,907,58,11,91.2263,100.1091,105.949,90.8026,87.7456,100.9064,151.3409,113.3698,104.248,141.8294,0,1,0,1,0,1,2,no,low,Y,1,0,0,2,SWest,0,0,0,1
65,,2887940.41,205,466,8408,407,817,2517,4221,631,37360,36704,81751.86,2245,1301,161,182,289,142,275,45,80.1301,81.1155,89.2814,79.1509,84.1708,84.3791,121.5484,113.5287,97.7887,115.5547,0,1,1,0,0,1,2,no,high,N,1,0,0,2,SWest,0,0,0,1
66,,2898793.05,156,1609,11081,870,596,2170,6294,456,27582,28434,77663.12,2109,999,154,162,528,189,24,35,111.8809,115.5134,131.44,105.9305,127.8147,111.2785,119.9295,109.9145,113.6244,119.4802,0,1,1,0,0,1,2,yes,low,N,1,0,0,2,SWest,0,0,0,1
67,,2950608.4,6,111,3743,24,18,1208,1359,22,26205,26838,62140.78,686,127,21,52,41,21,22,2,97.2701,94.4883,96.2498,94.3824,97.0825,85.3701,111.1021,97.2148,97.6779,122.463,0,1,0,1,0,1,2,yes,low,Y,1,0,0,2,SWest,0,0,0,1
68,,2957096.84,199,1928,10921,300,442,4774,3921,1108,36009,32236,63084.61,2336,907,220,248,376,324,202,92,85.0183,92.0411,93.7793,82.9693,84.8506,86.5281,133.2728,108.9853,100.0659,136.3011,0,1,0,1,0,1,2,no,low,N,1,0,0,2,SWest,0,0,0,1
69,,3033533.03,419,5524,17175,289,713,4097,8875,1171,27296,27534,80705.44,2525,662,202,257,416,370,31,188,105.8211,111.0135,123.4769,104.0555,121.9052,105.4886,128.2167,110.3659,114.7651,124.1775,0,1,1,0,0,1,2,no,low,N,1,0,0,2,SWest,0,0,0,1
70,,3033796.65,181,117,6327,637,274,1822,2788,417,39332,32594,71054.19,1224,477,35,114,52,76,78,29,112.1098,93.9214,95.7192,91.2561,103.2772,123.5494,104.0072,97.918,102.2533,108.9371,1,0,1,1,0,1,2,no,low,Y,1,0,0,2,SWest,0,0,0,1
71,,3054578.52,299,1405,12989,130,490,2548,7147,1167,38292,37087,94197.94,3168,1465,153,181,417,678,59,90,106.794,118.375,132.6683,102.9638,123.0961,105.4656,139.4832,118.7811,112.8967,130.1626,0,1,1,0,0,1,2,no,low,Y,1,0,0,2,SWest,0,0,0,0
72,,3104263.85,354,2679,14755,1104,579,4985,6633,907,26494,28177,62592.31,2400,927,191,127,442,274,64,92,94.4804,97.3896,95.5674,96.0525,100.6898,87.9268,111.3694,100.536,106.1672,114.9525,0,1,1,0,1,1,2,no,high,N,1,0,0,2,SWest,0,0,0,0
73,,3165165.25,356,1213,12916,434,509,2346,6821,1107,35113,33722,97707.02,3006,1085,167,281,145,406,78,94,104.3896,112.9425,130.6465,103.7982,119.1843,105.5845,124.7244,112.9125,113.891,121.2193,0,1,0,1,0,1,2,no,low,N,1,0,0,2,SWest,0,0,0,0
74,,3173305.35,165,1727,7407,351,451,2746,2772,484,40568,40523,74659.13,1468,478,157,114,332,116,33,19,86.8979,93.2153,95.2196,85.7532,89.0279,86.8441,140.1941,112.005,99.4874,133.9153,1,1,0,1,0,1,2,yes,low,N,1,0,0,1,SWest,0,0,0,0
75,,3236674.24,194,687,9151,91,77,2060,4121,686,25027,27327,65949.95,837,379,53,150,61,120,72,134,95.2871,91.302,97.3892,94.0567,94.978,91.6388,90.4057,92.5485,98.4054,103.3118,0,1,1,0,0,1,2,no,low,Y,1,0,0,1,SWest,0,0,0,0
76,,3253208.73,116,1341,4695,2030,419,3282,1095,140,20690,23276,39088.38,541,281,46,47,63,65,42,14,119.3663,122.8197,102.6701,113.186,125.8591,121.8043,121.3836,87.7863,119.5202,132.0888,0,1,1,0,0,1,2,no,low,N,1,0,0,1,SWest,0,0,0,0
77,,3535412.28,121,998,8134,1132,652,2629,3972,362,29532,32612,71291.77,1806,676,111,165,99,211,46,38,97.0322,97.0289,98.5922,98.4075,103.525,94.691,106.0921,99.1946,108.6218,108.9723,0,1,0,1,0,1,2,no,low,Y,1,0,0,1,SWest,0,0,0,0
78,,3997991.13,22,186,2553,265,114,459,1576,90,47443,45442,104588.3,618,275,78,60,47,51,12,4,109.357,115.0988,131.6405,103.6171,116.5714,109.5129,132.6204,112.0153,109.2214,128.6664,1,1,1,0,0,1,2,yes,low,N,1,0,0,1,SWest,0,0,0,0
